Date,Country,Event
2020-03-23,Other,Former American film producer and convicted sex offender Harvey Weinstein tests positive for the coronavirus.
2020-03-24,Other,The International Olympic Committee and the Tokyo 2020 Organising Committee announce that the 2020 Tokyo Olympic Games and the 2020 Tokyo Paralympic Games will be postponed to a date beyond 2020 but no later than summer 2021.
2020-03-24,New Zealand,"The New Zealand Government has extended all temporary visas until late September 2020; allowing travelers whose visas expire before 1 April to remain if they are unable to leave the country. Foreign Minister Winston Peters has urged New Zealanders stranded overseas to consider sheltering \""in place\"" due to travel restrictions. Peters has estimated there were 80,000 New Zealanders stranded overseas; 17,000 of whom have registered with the Ministry of Foreign Affairs and Trade (New Zealand)|Ministry of Foreign Affairs and Trade's \""Safe Travel\"" programme."
2020-03-24,Poland,"On 24 March, Poland's government announced further restrictions on people leaving their homes and on public gatherings to further limit the spread of SARS-CoV-2 infections. The new limits constrained gatherings by default to a maximum of two people (with an exception for families); an exception for religious gatherings, such as mass in the Catholic Church, funerals and marriages in which five participants and the person conducting the ceremony were allowed to gather; and an exception for work places. Non-essential travel was prohibited, with the exception of travelling to work or home, SARS-CoV-2 control related activities, or \""necessary everyday activities\"". Everyday activities qualifying as \""necessary\"" included shopping, buying medicines, visiting doctors, walking dogs, jogging, cycling and walking, provided that no more than two people participate and contact with others was avoided. The restrictions were initially defined for the period from 25 March to 11 April inclusive."
2020-03-24,India,"India's prime minister Narendra Modi announced a total lockdown, effective from midnight on 25 March."
2020-03-24,Germany,"Panama extended its curfew to 12 hours in length, starting at 5 PM and ending at 5 AM of the next day. The Panamanian government also announced fines of up to US$100,000 for those who refuse to stay in self-quarantine, after being diagnosed. Several businesses began to cover their glass windows with playwood panels and/or bricks to prevent looting. The first of several Lufthansa 747-400s landed in the Tocumen International Airport, to repatriate 700 German tourists."
2020-03-25,New Zealand,"In response to a sharp spike in coronavirus cases to 205, New Zealand's Minister of Civil Defence (New Zealand)|Civil Defence Minister Peeni Henare declared a national state of emergency lasting seven days, which may be extended. This supplements the Coronavirus alert level 4 rating that comes into action at 11:59&nbsp;pm."
2020-03-25,Other,"Diamond Comics Distributors, a major distributor for most major US publishers including Marvel Comics and DC Comics, announces that it will stop shipping new comics to stores commencing 1 April. Diamond's sister company Alliance Game Distributors also adopted a similar policy, shutting down both its distribution systems the previous day."
2020-03-25,Other,"Charles, Prince of Wales, Succession to the British throne|heir apparent to the British throne, tests positive for the Covid-19 virus."
2020-03-25,Egypt,Egypt begins disinfection on the Giza pyramid complex.
2020-03-26,India,India announces a 1.7 trillion Indian rupee|INR economic stimulus plan to help millions of people affected by a nationwide lockdown. The Minister of Finance (India)|Minister of Finance Nirmala Sitharaman also confirmed that the Indian Government plans to distribute five kilograms of staple food grains like wheat or rice for each person free of charge in order to feed about 800 million poor people over the next three months.
2020-03-26,Russia,"Russia halts all international air traffic with the exception of flights repatriating Russian citizens back to the country. Moscow closes all restaurants, bars, parks, and shops but allows grocery stores and pharmacies to remain open."
2020-03-26,United States,"The United States Senate passes a US$2.2 trillion emergency Coronavirus Aid, Relief, and Economic Security Act|relief package, which is to date the biggest rescue deal in US history."
2020-03-26,United Arab Emirates,The United Arab Emirates imposes night curfew and begins disinfection across streets.
2020-03-27,Malaysia,"Prime Minister of Malaysia|Malaysian Prime Minister Muhyiddin Yassin announces the Ringgit|RM 250 billion Prihatin stimulus package to help people, businesses and the economy to weather the effects of the Covid-19 pandemic."
2020-03-27,Japan,Japan's professional basketball league B.League cancels the remainder of the season in response to the coronavirus pandemic.
2020-03-27,United Kingdom,Prime Minister of the United Kingdom|British Prime Minister Boris Johnson tests positive for Coronavirus disease 2019|COVID-19.
2020-03-27,United States,"The United States House of Representatives pass the Coronavirus Aid, Relief, and Economic Security Act via voice vote, and was signed by Donald Trump afterwards."
2020-03-27,Ireland,The government of the Republic of Ireland announced restrictions on movement to be in place until 12 April.
2020-03-28,United Arab Emirates,"After 63 new cases are confirmed in the United Arab Emirates, the country announced that disinfection and curfew will be extended to April 5."
2020-03-29,Malaysia,"Minister of Defence (Malaysia)|Malaysian Minister of Defence Ismail Sabri Yaakob confirmed that 649 people had been detained as of yesterday while 73 people had pleaded guilty to various offenses including illegal public gatherings, obstructing public officials, and breaking through police blockades."
2020-03-29,New Zealand,The New Zealand Police launches a new online form on their website for people to report COVID-19 Alert Level 4 restriction breaches including isolation breaches and businesses operating illegally.
2020-03-29,Argentina,"The Argentine government announced the extension of the mandatory nation-wide quarantine, originally intended to end on 31 March, until mid April."
2020-03-30,Hungary,"In Hungary, the National Assembly (Hungary)|National Assembly passes a law allowing Prime Minister of Hungary|Prime Minister Viktor Orbán to rule by decreed. Other measures include imprisonment for spreading misinformation and maintaining a national state of emergency."
2020-03-30,Other,The International Olympic Committee moves the 2020 Summer Olympics to be held between 23 July and 8 August 2021. The 2020 Summer Paralympics will also take place between 24 August and 5 September 2021.
2020-03-30,Israel,"In Israel, Prime Minister of Israel|Prime Minister Benjamin Netanyahu goes into self-isolation after coming into contact with infected people."
2020-03-30,China," Japan bans entry by foreign citizens travelling from the United States, China, South Korea and most of Europe. Returning Japanese citizens will be required to self-quarantine for 14 days."
2020-03-30,Niger,"In Nigeria, authorities in Lagos place the city under a two-week lockdown commencing on Monday night."
2020-03-30,Russia,"In Russia, Moscow authorities have placed the capital into lockdown after many residents ignored official requests to stay at home. Under strict isolation measures, residents are not allowed to leave their homes unless for a medical emergency, to travel to essential jobs, obtain groceries and medicine, and to walk their dogs."
2020-03-30,Korea,South Korea requires all travelers returning from overseas to undergo two weeks of quarantine from 1 April.
2020-03-30,Other,The United Nations calls for a US$2.5 trillion emergency package to help developing countries cope with the economic impact of the Covid-19 pandemic.
2020-03-30,United States,"In the United States, President Trump extends the country's national shutdown and social distancing rules until 30 April."
2020-03-31,Malaysia,The Minister of Defence (Malaysia)|Malaysian Defence Minister Datuk Seri Ismail Sabri Yaakob announced that all Malaysians returning from overseas would have to undergo two-weeks of quarantine at designate sites across the country.
2020-03-31,New Zealand,The New Zealand Government extends the country's state of national emergency by seven days.
2020-03-31,Solomon,The Solomon Islands closes all schools in the country as a precautionary measure against Covid-19.
