Date,Country,Event
2020-02-24,China,"Rock lobster deliveries from the US to China are on hold, and wedding dress orders in the US are not able to be fulfilled due to shortage of them as 80% of wedding dresses used in the US are made in China."
2020-02-25,China,"Iraq banned travellers from China, Iran, Thailand, South Korea, Japan, Italy, and Singapore from entering the country. Iraqis were also advised not to travel to these places."
2020-02-25,Bahrain,"Bahrain suspended all schools, nurseries and universities for two weeks to curb the spread of COVID-19 infection."
2020-02-25,Korea,"Singapore banned visitors arriving from Cheongdo and Daegu in South Korea from 26 February after cases had increased rapidly in these two cities. Singapore citizens, permanent residents and long-term pass holders returning from Cheongdo and Daegu within the last 14 days would be issued a Stay-Home Notice (SHN) lasting 14 days."
2020-02-25,Korea,"North Korea quarantined 380 foreigners, enacted a mandatory 30 day quarantine for all foreigners coming from outside the country and cancelled the Pyongyang Marathon."
2020-02-25,Japan,"Due to the coronavirus situation in Japan, organisers of the Asia's 50 Best Restaurants Awards decided to hold the ceremony online instead."
2020-02-25,United States,"In the United States, officials warned that community transmission of COVID-19 was expected, urging local governments, schools and businesses to develop plans to deal with potential outbreaks. In addition, disruptions to drug supplies could also be expected."
2020-02-25,Vietnam,"The Badminton World Federation announced it has postponed the Vietnam International Challenge tournament, originally scheduled to be held from 24 to 29 March."
2020-02-26,Japan,"Japanese prime minister Shinzo Abe called for sports and cultural events to be stopped for two weeks. This comes after Japan confirmed its second local death, amid concerns the 2020 Tokyo Olympics could be cancelled. Hokkaido will close schools from 27 February to 4 March, while Tokyo allowed schools to start some classes later."
2020-02-26,Japan,"As of this date the 2020 Tokyo Olympics shall go ahead as planned, albeit with some adjustments. This comes as major sports are being cancelled (or played behind closed doors, such as with the Japan Davis Cup); the Japan Sumo Association is weighing whether to cancel a sold-out sumo tournament scheduled for 8 March in Osaka."
2020-02-26,Japan,Toyota cancelled non-urgent trips for Japan workers as the coronavirus situation worsens. Its production schedule will remain unchanged.
2020-02-26,China,"Spain advised travellers to refrain from going to places like four Italian regions affected, Japan, Iran, South Korea, Singapore and China unless required. Measures will be put in place to slow the spread of the virus."
2020-02-26,China,"Thailand advised travellers to postpone trips to China, Hong Kong, Singapore, Italy, Macau, Taiwan, Iran and some areas in South Korea and Japan. Healthcare workers are not allowed to travel to places affected by COVID-19 unless absolutely necessary, with these workers asked to self-quarantine and adopt enhanced hygiene measures for 14 days."
2020-02-26,China,"The World Health Organisation reported that the number of new cases outside China had exceeded the number of new cases in China for the first time on 25 February, after a spike of cases in Italy, Iran and South Korea with cases in China dropping."
2020-02-26,Ireland,"Ireland's Six Nations Championship match with Italy, which was supposed to be held on the weekend of 6 to 8 March, has been postponed due to the coronavirus, and may be cancelled. This comes after a meeting with health officials led by Simon Harris (politician)|Simon Harris, the Health Minister."
2020-02-26,Germany,"The Badminton World Federation announced it has postponed the 2020 German Open (badminton)|2020 German Open and Polish Open tournaments, originally scheduled to be held from 3 to 8 March and 26 to 29 March respectively."
2020-02-26,Japan,AnimeJapan 2020 was cancelled.
2020-02-26,Other,Chinese authorities confiscated more than 31 million counterfeit surgical masks.
2020-02-27,Saudi Arabia,Saudi Arabia banned pilgrims and foreigners from entering the country due to the coronavirus.
2020-02-27,Fiji,"Fiji extends travel ban with Prime Minister Frank Bainimarama announcing that travellers who had been in Italy, Iran and the South Korean cities of Daegu and Cheongdo County|Cheongdo will be denied entry into Fiji. He also added that Thermographic camera|thermal scanners will be installed at the country's port of entry. From 28 February, all cruise ships entering Fiji would be required to make first berths at ports in Suva and Lautoka, where passengers will undergo a medical and travel history checks."
2020-02-27,Other,"Due to mounting worries about the coronavirus outbreak, various U.S. Stock market index|stock market indices including the NASDAQ-100, the S&P 500 Index, and the Dow Jones Industrial Average posted their sharpest falls since 2008, with the List of largest daily changes in the Dow Jones Industrial Average|Dow falling 1,191 points, its largest one-day drop since the Financial crisis of 2007–08|2008 financial crisis."
2020-02-27,Japan,"Japan's Prime Minister Shinzo Abe requested all elementary, junior high, high and special needs schools to close from 2 March until spring break in a bid to stop the virus."
2020-02-27,Greece,"Following the confirmation of the 2nd and 3rd case in Greece, the Health Minister announced that all carnival celebrations in the country will be suspended."
2020-02-27,Australia,"Australia drew up a pandemic plan in preparation of a bigger spread. It also extended a travel ban on travellers coming from China until 7 March, the third time it has done so."
2020-02-27,Other,"The World Health Organisation urged countries not to assume that they will be spared the coronavirus, pointing out that it would be a \""fatal mistake\"" to do so. It also warned that the virus \""has pandemic potential\""."
2020-02-27,China,"Iran cancelled Friday prayers in some cities. Iran has since banned travellers from China entering the country. A ban on conferences, cultural events and closure of cinemas was extended by another week."
2020-02-27,Other,"Facebook cancelled the F8 developer conference, which was supposed to be held on 5–6 May."
2020-02-27,Italy,British Airways cancels 56 flights to Italy between 14 and 26 March due to the large amount of cancellations.
2020-02-27,Taiwan,Taiwan raised its alert level to the highest after sporadic cases of transmission.
2020-02-27,Other,The Asian Football Confederation announced the postponement of 8 matches of the 2020 AFC Champions League group stage|Champions League group stage originally scheduled for 2–4 March.
2020-02-28,Iran,"In response to New Zealand's first reported case, the New Zealand Government temporarily banned travelers from Iran. The patient had reportedly returned from Iran to Auckland earlier in the week. While New Zealand citizens and permanent residents will be allowed to return, they must self-isolate for 14 days. In addition, the Minister of Health (New Zealand)|Health Minister David Clark confirmed that Chinese international students would not be allowed to re-enter the country and that there would be an increased health presence at airports."
2020-02-28,Cyprus,"Cyprus decided to close four checkpoints on the divided island for a week starting 29 February — the first closure since the crossings between the two sides were eased in 2003 after decades of disputes. The United Nations peacekeeping force on the island, UNFICYP were informed of the decision."
2020-02-28,Other,Tokyo Disneyland and Tokyo DisneySea will close from 29 February to 15 March to limit the spread of the virus.
2020-02-28,Iran,"Malaysia banned all travellers arriving from South Korea with immediate effect. In addition, Malaysians, permanent residents, and long-term social visit pass and student pass holders returning from Daegu or Cheongdo in the last 14 days must undergo health screening, and separate immigration lanes for travellers from South Korea, Japan, Italy and Iran will be set up."
2020-02-28,Korea,"South Korean band BTS (band)|BTS cancelled their April 2020 ''Map of the Soul Tour'' scheduled to be held at the Seoul Olympic Stadium. The band's label Big Hit Entertainment released a statement that is \""impossible at this time to predict the scale of the outbreak\"" and that they \""must take into consideration the health and safety of hundreds of thousands of guests as well as our artists.\"""
2020-02-28,Iran,"According to BBC, internal sources in the Iranian health system stated that at least 210 COVID-19 patients have died in Iran."
2020-02-28,Other,Shopify cancelled the Shopify Unite Conference which supposed to be held on 6 to 8 May in Toronto.
2020-02-28,Switzerland,"The Geneva Motor Show scheduled to start on 5 March in Switzerland is cancelled. This comes after Switzerland banned public gatherings of more than 1,000 people to contain the virus."
2020-02-28,Russia," In Russia, 88 foreigners in Moscow will be deported for breaking quarantine."
2020-02-28,Other,"The Game Developers Conference, which was set to take place in March, has been postponed to an undisclosed date in the summer."
2020-02-28,Japan,"Japan's Hokkaido declared a state of emergency until 19 March as the number of cases continued to rise, with people asked to stay indoors."
2020-02-28,Other,The World Health Organisation raised the coronavirus alert to the highest level. This comes after more countries confirmed their first cases with the outbreak reaching sub-Saharan Africa.
2020-02-28,Korea,A Hyundai Motor Company|Hyundai factory in Ulsan in South Korea shut down after a case was confirmed involving a worker there.
2020-02-28,United States,"In the United States, a school in Washington (state)|Washington and another in Oregon, will be temporarily closed."
2020-02-28,Japan,"In Japan, authorities asked online auction sites to stop listing face masks, in an effort to prevent mask shortages caused by people buying face masks in bulk to sell them in online auctions."
2020-02-29,Korea,"Vietnamese authorities announced the visa-free policy for Korean citizens to be temporarily invalidated, starting 29 February. Also, medical quarantine was imposed for Korea-related passengers who arrive in Vietnam."
2020-02-29,China,Nasa releases new satellite images over China that show air pollution has decreased a large amount due to reduced travel and industrial facilities being closed.
2020-02-29,Iran,"The United States bans travel from Iran, and increases its travel warnings to Italy and South Korea."
2020-02-29,Iran,"Iran bans the exporting of soaps, bleaches, and disinfectants to try to reduce shortages."
2020-02-29,Azerbaijan,Azerbaijan shuts down its border with Iran.
2020-02-29,Other,"The ASEAN Summit|US-ASEAN Summit in Las Vegas on 14 March, between the U.S. President and ten leading representatives of Association of Southeast Asian Nations|Southeast Asian countries, was postponed."
2020-02-29,Iran,"An Iranian Member of Parliament, Mohammad Ali Ramazani, has died due to the coronavirus."
2020-02-29,Portugal,"According to Portugal's General Directorate of Health, Graça Freitas, in the worst-case scenario, Portugal may have one million infections (in a population of roughly more than ten million) over several months of outbreak, 12 to 14 weeks of intense contagion and around 20% severe cases of the total infected population. In this scenario the mortality rate may be around 2.3% to 2.4%. In the most probable scenario is it estimated that Portugal will have around twenty one thousand cases in the most severe week of the outbreak."
2020-02-29,France,"France temporarily banned gatherings of more than 5,000 people to contain the virus, coming after new cases are reported. As a result, the Paris half-marathon is cancelled, and the annual farm show will end today instead."
2020-02-29,Australia,Australia will ban travellers arriving from Iran starting 1 March. Travellers who do so will be required to stay in another country for 14 days.
2020-02-29,United Arab Emirates,The United Arab Emirates suspends all extracurricular school activities and orders nurseries closed until further notice as measures to prevent the spreading of the virus.
2020-02-29,Japan,Several cherry blossom festivals in Japan were cancelled due to fears of the coronavirus spreading uncontrollably.
2020-02-29,Hong Kong,"In Hong Kong, several small surgical mask factories began mass production."
